ID;NOMBRE
1;CATOLICISMO MILITANTE (CAMIL), CENTRO DE INGLÉS
2;CRISTO PARA LAS NACIONES COLOMBIA
3;CESDE CENTRO DE ESTUDIOS ESPECIALIZADOS
4;CENTRO DE ESTUDIOS MULTITÉCNICO
5;AUTO CLUB MEDELLÍN
6;INSTITUTO TÉCNICO DEL TRANSPORTE MANECAR
7;INSTITUTO TECNICO DE TABULACIÓN Y COMERCIO
8;POLITECNICO CAFOR
9;POLITÉCNICO DE SURAMÉRICA
10;CENTRO AMERICANO DE LENGUAS - AMERICAN SCHOOL WAY FLORIDA
11;CEDENORTE INSTITUCIÓN TÉCNICA SECCIONAL MEDELLÍN
12;FUNDACIÓN SALAMANDRA O.N.G
13;CETIA FORMACIÓN Y CONSULTORIA
14;INSTITUTO DE INGLÉS WALL STREET ENGLISH MOLINOS
15;CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA
16;IMPERIO VIAL
17;ESCUELA DE BELLEZA ORLY
18;SABERES SOLIDARIOS
19;CENTROS DE DESARROLLO INTEGRADO - CENDI
20;INSTITUTO COLOMBIANO DE CAPACITACIÓN TÉCNICA - ICCT
21;FUNDACIÓN EDUCATIVA CESDE
22;ACADEMIA DE IDIOMAS SMART
23;UNIVERSIDAD DE ANTIOQUIA - ESCUELA DE IDIOMAS
24;CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA CONDUWEB
25;CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA MASCONDUCCIÓN
26;CIUDAD DON BOSCO
27;INSTITUTO DE SINTESIS ELECTRÓNICA ITSE
28;CENTRO DE CAPACITACIÓN, FORMACIÓN Y ENTRENAMIENTO DE EMERGENCIAS Y DESASTRES  DEL CUERPO DE BOMBEROS DE MEDELLÍN
29;COLEGIATURA COLOMBIANA DE COSMETOLOGÍA Y COSMIATRÍA
30;POLITECNICO DE ANTIOQUIA
31;INSTITUTO POLITÉCNICO INTERNACIONAL
32;INSTITUTO METROPOLITANO DE EDUCACIÓN IME
33;LA ESCUELA FOTOGRAFÍA DE MODA Y PRODUCTO
34;EDUCAMOS CONDUCIENDO
35;INSTITUTO AMERICANO DE LENGUAS - AMERICAN SCHOOL WAY
36;CENTRO DE CIENCIA Y SENSIBILIZACIÓN AMBIENTAL
37;INSTITUTO POLITÉCNICO SOTEC
38;MICROEMPRESAS DE COLOMBIA
39;ACADEMIA DE IDIOMAS ELEFUN
40;ACADEMIA BE ACADEMY BY MARIANA TOBÓN
41;CENTRO ARTÍSTICO Y CULTURAL SÓCRATES
42;PLAY DANCE / BAILA JUGANDO
43;MASCONDUCCIÓN INSTITUCIÓN DE EDUCACIÓN PARA EL TRABAJO Y EL DESARROLLO HUMANO
44;FUNDACIÓN UNIVERSITARIA MARÍA CANO
45;HAS BELLEZA
46;POLITÉCNICO PROSANEAR
47;CENTRO EMPRESARIAL EDUCATIVO - CEMPED
48;ESCUELA DE CONDUCCIÓN AUTOMOVILISTICA TATOCAR
49;INSTITUCIÓN TÉCNICA SAN JOSÉ OBRERO
50;UNIVERSIDAD PONTIFICIA BOLIVARIANA
51;POLITÉCNICO MAYOR
52;CENTRO DE ESTUDIOS EN SALUD EDESA E.A.T
53;CENTRO DE ESTUDIOS TÉCNICOS DE AMÉRICA
54;SCHOOL CENTER - CENTRO DE ENSEÑANZA AUTOMOVILISTICA
55;CENTRO DE CAPACITACIÓN LABORAL Y FORMACIÓN CIUDADANA - CENCALA
56;LCN IDIOMAS
57;ESCUELA DE METASOFROLOGÍA CUÁNTICA
58;ESCUELA DE GASTRONOMÍA MARIANO MORENO
59;ACADEMÍA COLOMBIANA DE ESTETÍCA Y PELUQUERÍA - ACEP MEDELLÍN
60;INSTITUTO TÉCNICO DON BOSCO
61;DIRECCIÓN DE IDIOMAS DE LA UNIVERSIDAD EAFIT
62;INTECO INSTITUTO TÉCNICO COMERCIAL
63;INSTITUTO SALESIANO PEDRO JUSTO BERRÍO
64;POLITÉCNICO COLOMBIANO DE CLIMATIZACIÓN Y REFRIGERACIÓN
65;ESCUELA TÉCNICA SIN FRONTERAS
66;CENTRO DE EDUCACIÓN Y FORMACIÓN DE LA LIGA DE NATACIÓN DE ANTIOQUIA
67;CORPORACION ACADEMIA TECNOLOGICA DE COLOMBIA- ATEC
68;POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID
69;INSTITUCIÓN UNIVERSITARIA VISIÓN DE LAS AMÉRICAS
70;LA MEJOR ESCUELA
71;CEA DAVIDAUTOS
72;COLEGIO DE MÚSICA DE MEDELLÍN
73;ACADEMIA DE DANZA CLAUDIA CADENA
74;APRENDIZAJE RÁPIDO/QUICK LEARNING
75;COLEGIO DE DESARROLLO SOCIAL PARA LA ATENCION INTEGRAL AL JOVEN TALITA CUMI
76;ESCUELA DE LA COOPERACIÓN PARA LA SOLIDARIDAD SER COOPERATIVO
77;CENTRO DE EXAMINACIÓN AUTORIZADO PARA PRUEBAS INTERNACIONALES TEST TARGET
78;ESCUELA DE CONDUCCIÓN DANALVIAL
